id,url,title,genre,img,desc,key_word
4,https://webtoon.kakao.com/content/순정만화/4,순정만화,로맨스,4.jpg,강풀 작가의 대표작품인 '순정만화'. 2004년 최고의 히트작품,"['감동적인', '설레는', '로맨스', '연애물']"
5,https://webtoon.kakao.com/content/놀아죠-패밀리/5,놀아죠 패밀리,코믹/일상,5.jpg,네티즌들과 재밌고 감동적인 이야기를 나누고 싶은 남지은 작가의 데뷔작.,"['공감되는', '귀여운', '코믹/일상', '에피소드물']"
6,https://webtoon.kakao.com/content/아파트/6,아파트,공포/스릴러,6.jpg,강풀만이 그려낼 수 있는 만화속 공포. 2006년 영화로 제작되어 화제를 모으기도 했다.,"['긴장감있는', '몰입되는', '공포/스릴러', '반전물']"
8,https://webtoon.kakao.com/content/바보/8,바보,드라마,8.jpg,강풀 순정만화 씨즌2-바보. 겨울내내 가슴 속에 따뜻한 사랑과 웃음을 심어주었던 작품,"['따뜻한', '설레는', '드라마', '연애물']"
9,https://webtoon.kakao.com/content/남아돌아/9,남아돌아,코믹/일상,9.jpg,남아돌아'는 젊은 층에게 많은 인기를 누리고 있는 캐러맬 작가의 데뷔작,"['귀여운', '설레는', '코믹/일상', '에피소드물']"
11,https://webtoon.kakao.com/content/위대한-캣츠비/11,위대한 캣츠비,드라마,11.jpg,날백수 수컷 캣츠비 'C급 애인' 선 사랑의 그림자 페르수. 이들이 벌이는 사랑이야기,"['감동적인', '염세적인', '드라마', '반전물']"
13,https://webtoon.kakao.com/content/타이밍/13,타이밍,공포/스릴러,13.jpg,이 작품을 보는 순간 여러분이 알고 있는 시간의 개념은 무너질 것이다.,"['미스테리한', '몰입되는', '공포/스릴러', '반전물']"
16,https://webtoon.kakao.com/content/심인애씨의-소유/16,심인애씨의 소유,드라마,16.jpg,놀아죠패밀리'로 사랑을 받았던 남지은 작가의 두번째 작품,"['가슴먹먹한', '설레는', '드라마', '연애물']"
17,https://webtoon.kakao.com/content/에스탄시아1/17,에스탄시아1,학원/판타지,17.jpg,'에스탄시아'는 만화창작집단 풍경의 데뷔작,"['역동적인', '몰입되는', '학원/판타지', '로드무비']"
18,https://webtoon.kakao.com/content/바람개비-소년의꿈/18,바람개비 소년의꿈,코믹/일상,18.jpg,바람개비 소년 '하루'는 자신을 움직여줄 수 있는 '바람'을 찾아 여행을 떠난다,"['감동적인', '따뜻한', '코믹/일상', '에피소드물']"
20,https://webtoon.kakao.com/content/죽는남자/20,죽는남자,드라마,20.jpg,100일 동안 주어진 시간 모든 것을 나누어주고 떠날 채비를 준비하는 남자,"['감동적인', '가슴먹먹한', '드라마', '휴머니즘']"
